# Matter power spectrum P(k) at redshift z=0
# for k=1.04974e-05 to 8.44321 h/Mpc,
# number of wavenumbers equal to 611
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.623114424059e-01       2.641635473376e+03 
       1.655409258877e-01       2.542727523906e+03 
       1.687704144403e-01       2.458802182957e+03 
       1.719999076648e-01       2.388350459043e+03 
       1.752294052335e-01       2.329123255881e+03 
       1.784589068674e-01       2.278390968646e+03 
       1.816884123231e-01       2.233223614560e+03 
       1.849179213835e-01       2.191073448874e+03 
       1.881474338521e-01       2.149319176859e+03 
       1.913769495494e-01       2.105484056291e+03 
       1.946064683099e-01       2.058083317158e+03 
       1.978359899803e-01       2.006390506494e+03 
       2.010655144181e-01       1.950454856645e+03 
       2.042950414902e-01       1.891006106051e+03 
       2.075245710722e-01       1.829284241520e+03 
       2.107541030476e-01       1.766775403727e+03 
       2.139836373069e-01       1.705034320692e+03 
       2.172131737476e-01       1.645494332937e+03 
       2.204427122729e-01       1.589324516762e+03 
       2.236722527919e-01       1.537395005192e+03 
       2.269017952188e-01       1.490232975923e+03 
       2.301313394728e-01       1.448033183004e+03 
       2.333608854774e-01       1.410673791638e+03 
       2.365904331604e-01       1.377736082549e+03 
       2.398199824537e-01       1.348562309005e+03 
       2.430495332925e-01       1.322314216872e+03 
       2.462790856157e-01       1.298065872158e+03 
       2.495086393653e-01       1.274900560152e+03 
       2.527381944863e-01       1.251998889271e+03 
       2.559677509263e-01       1.228702682687e+03 
       2.591973086359e-01       1.204561670171e+03 
       2.624268675678e-01       1.179337267018e+03 
       2.656564276772e-01       1.152991206250e+03 
       2.688859889214e-01       1.125681397814e+03 
       2.721155512598e-01       1.097687611326e+03 
       2.753451146536e-01       1.069428851036e+03 
       2.785746790660e-01       1.041374805219e+03 
       2.818042444616e-01       1.014001275416e+03 
       2.850338108070e-01       9.877432490449e+02 
       2.882633780700e-01       9.629408155924e+02 
       2.914929462199e-01       9.398114555056e+02 
