# Matter power spectrum P(k) at redshift z=0
# for k=1.04974e-05 to 8.44321 h/Mpc,
# number of wavenumbers equal to 611
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       5.886150480613e-01       6.637885353305e+02 
       5.918446457962e-01       6.603328086685e+02 
       5.950742436327e-01       6.569153740003e+02 
       5.983038415692e-01       6.535355973956e+02 
       6.015334396039e-01       6.501926213449e+02 
       6.047630377354e-01       6.468850965775e+02 
       6.079926359622e-01       6.436121845854e+02 
       6.112222342826e-01       6.403735509890e+02 
       6.144518326952e-01       6.371696350836e+02 
       6.176814311986e-01       6.340003494757e+02 
       6.209110297913e-01       6.308677478336e+02 
       6.241406284720e-01       6.277715671319e+02 
       6.273702272392e-01       6.247101787463e+02 
       6.305998260918e-01       6.216835021999e+02 
       6.338294250282e-01       6.186903020810e+02 
       6.370590240474e-01       6.157287447085e+02 
       6.402886231479e-01       6.127985616525e+02 
       6.435182223287e-01       6.098997766164e+02 
       6.467478215884e-01       6.070316458827e+02 
       6.499774209259e-01       6.041934786053e+02 
       6.532070203401e-01       6.013845480605e+02 
       6.564366198297e-01       5.986029407718e+02 
       6.596662193938e-01       5.958479610907e+02 
       6.628958190312e-01       5.931188249740e+02 
       6.661254187408e-01       5.904152964380e+02 
       6.693550185216e-01       5.877376640748e+02 
       6.725846183726e-01       5.850858493584e+02 
       6.758142182927e-01       5.824598602536e+02 
       6.790438182810e-01       5.798591584694e+02 
       6.822734183365e-01       5.772825266848e+02 
       6.855030184582e-01       5.747300488207e+02 
       6.887326186453e-01       5.722007179522e+02 
       6.919622188967e-01       5.696948890392e+02 
       6.951918192116e-01       5.672126723590e+02 
       6.984214195892e-01       5.647539723960e+02 
       7.016510200284e-01       5.623185138402e+02 
       7.048806205286e-01       5.599055295651e+02 
       7.081102210888e-01       5.575144108043e+02 
       7.113398217083e-01       5.551442715539e+02 
       7.145694223862e-01       5.527948086032e+02 
       7.177990231218e-01       5.504655870295e+02 
       7.210286239142e-01       5.481569639115e+02 
       7.242582247627e-01       5.458683948007e+02 
       7.274878256666e-01       5.435996956053e+02 
       7.307174266251e-01       5.413503991223e+02 
       7.339470276375e-01       5.391198873291e+02 
       7.371766287031e-01       5.369076487044e+02 
       7.404062298211e-01       5.347133576840e+02 
       7.436358309910e-01       5.325369593684e+02 
       7.468654322120e-01       5.303786138661e+02 
       7.500950334835e-01       5.282383313157e+02 
       7.533246348048e-01       5.261158326795e+02 
       7.565542361753e-01       5.240107493041e+02 
