# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  149       5.851657845969e-10       1.476772577612e-13      -6.207477807608e-12       0.000000000000e+00       3.375503500695e-12       6.243204059467e-13      -3.978235559209e-15 
  150       5.896127384734e-10       1.470618086824e-13      -6.215494496372e-12       0.000000000000e+00       3.311384662613e-12       6.154520971546e-13      -3.918109108969e-15 
  151       5.940354854339e-10       1.463865971432e-13      -6.220306980648e-12       0.000000000000e+00       3.248883869569e-12       6.067812750876e-13      -3.858566436218e-15 
  152       5.984327618757e-10       1.456528471809e-13      -6.221872828790e-12       0.000000000000e+00       3.187971173728e-12       5.983013277517e-13      -3.799522520064e-15 
  153       6.028032627723e-10       1.448618892856e-13      -6.220151173110e-12       0.000000000000e+00       3.128609935626e-12       5.900045920647e-13      -3.740884341975e-15 
  154       6.071456408739e-10       1.440151621709e-13      -6.215102750387e-12       0.000000000000e+00       3.070756678666e-12       5.818823315418e-13      -3.682550727290e-15 
  155       6.114585059089e-10       1.431142145454e-13      -6.206689942396e-12       0.000000000000e+00       3.014360943601e-12       5.739247139816e-13      -3.624412186731e-15 
  156       6.157404237848e-10       1.421607068832e-13      -6.194876816417e-12       0.000000000000e+00       2.959365143025e-12       5.661207891528e-13      -3.566350757916e-15 
  157       6.199899157889e-10       1.411564131957e-13      -6.179629165760e-12       0.000000000000e+00       2.905704415860e-12       5.584584664797e-13      -3.508239846868e-15 
  158       6.242054577895e-10       1.401032228020e-13      -6.160914550277e-12       0.000000000000e+00       2.853306481844e-12       5.509244927285e-13      -3.449944069525e-15 
  159       6.283854794370e-10       1.390031421004e-13      -6.138702336887e-12       0.000000000000e+00       2.802091496019e-12       5.435044296934e-13      -3.391319093253e-15 
  160       6.325283633646e-10       1.378582963394e-13      -6.112963740088e-12       0.000000000000e+00       2.751971903223e-12       5.361826318827e-13      -3.332211478358e-15 
  161       6.366325551797e-10       1.366708829103e-13      -6.083671717012e-12       0.000000000000e+00       2.702870388095e-12       5.289457044457e-13      -3.272496749224e-15 
  162       6.406969060465e-10       1.354430228647e-13      -6.050800557085e-12       0.000000000000e+00       2.654775814450e-12       5.217932674451e-13      -3.212197723934e-15 
  163       6.447203590129e-10       1.341768995904e-13      -6.014326333347e-12       0.000000000000e+00       2.607691977707e-12       5.147281052837e-13      -3.151376394669e-15 
  164       6.487018406581e-10       1.328748076438e-13      -5.974227084185e-12       0.000000000000e+00       2.561619892529e-12       5.077527658277e-13      -3.090096656494e-15 
  165       6.526402608029e-10       1.315391542986e-13      -5.930482853185e-12       0.000000000000e+00       2.516557730563e-12       5.008695541040e-13      -3.028424324757e-15 
  166       6.565345122208e-10       1.301724610935e-13      -5.883075728978e-12       0.000000000000e+00       2.472500758185e-12       4.940805259987e-13      -2.966427152491e-15 
